
 num     #instances         #bytes  class name
 161:           189           6048  java.util.LinkedList
 162:           309           6040  [Lsun.reflect.generics.tree.TypeSignature;
 163:           249           5976  com.opensymphony.xwork2.inject.Key
 164:           185           5920  com.opensymphony.xwork2.util.location.LocationImpl
 165:           280           5880  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 166:           365           5840  java.util.concurrent.locks.ReentrantLock
 167:           349           5808  [Lsun.reflect.generics.tree.FormalTypeParameter;
 168:           121           5808  sun.nio.cs.UTF_8$Encoder
 169:           105           5632  [[Z
 170:           348           5568  sun.reflect.DelegatingMethodAccessorImpl
 171:           104           5552  [Lorg.hibernate.engine.ValueInclusion;
 172:           260           5408  [Lorg.apache.catalina.Container;
 173:           135           5400  com.sun.org.apache.xerces.internal.impl.dtd.XMLSimpleType
 174:           112           5376  java.beans.BeanDescriptor
 175:           223           5352  java.util.regex.Pattern$Start
 176:            81           5200  [Ljavax.management.MBeanAttributeInfo;
 177:            28           5152  org.hibernate.mapping.RootClass
 178:           212           5088  java.util.regex.Pattern$Single
 179:            45           5040  java.util.GregorianCalendar
 180:           208           4992  org.hibernate.dialect.lock.SelectLockingStrategy
 181:           156           4992  java.util.ArrayList$Itr
 182:           208           4992  java.util.regex.Pattern$TreeInfo
 183:            87           4872  freemarker.core.DollarVariable
 184:           199           4776  java.util.Collections$SynchronizedSet
 185:            85           4760  org.apache.naming.resources.CacheEntry
 186:            99           4752  freemarker.core.MixedContent
 187:           148           4736  sun.security.util.ObjectIdentifier
 188:           293           4688  java.util.Collections$UnmodifiableSet
 189:           194           4656  sun.reflect.UnsafeObjectFieldAccessorImpl
 190:           192           4608  com.sun.org.apache.xerces.internal.util.SymbolHash$Entry
 191:           191           4584  javax.management.ImmutableDescriptor
 192:           142           4544  org.springframework.beans.factory.annotation.InjectionMetadata
 193:           113           4520  java.math.BigInteger
 194:           112           4480  java.beans.GenericBeanInfo
 195:           276           4416  java.lang.Byte
 196:            92           4416  java.util.concurrent.ConcurrentHashMap
 197:            78           4368  freemarker.core.ConditionalBlock
 198:             8           4352  <typeArrayKlassKlass>
 199:            45           4320  sun.util.calendar.Gregorian$Date
 200:            75           4200  java.util.Properties
 201:           260           4160  java.lang.Short
 202:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 203:             4           4160  [Lcom.sun.org.apache.xerces.internal.impl.dv.DatatypeValidator;
 204:           258           4128  java.security.ProtectionDomain$Key
 205:           258           4128  [Ljava.security.Principal;
 206:           164           4056  [Ljavax.management.MBeanParameterInfo;
 207:            62           3968  javax.servlet.jsp.tagext.TagInfo
 208:           123           3936  com.sun.org.apache.xerces.internal.impl.dtd.XMLElementDecl
 209:            81           3888  javax.management.MBeanInfo
 210:           120           3840  java.util.zip.ZipCoder
 211:           158           3792  com.sun.org.apache.xerces.internal.util.XMLStringBuffer
 212:           157           3768  javax.management.ObjectName$Property
 213:            36           3744  org.hibernate.hql.ast.tree.DotNode
 214:           117           3744  sun.reflect.UnsafeStaticObjectFieldAccessorImpl
 215:            52           3744  org.hibernate.tuple.entity.PojoEntityTuplizer
 216:           156           3744  [Lorg.hibernate.engine.ExecuteUpdateResultCheckStyle;
 217:           153           3672  java.util.Date
 218:           133           3664  [Ljavax.management.ObjectName$Property;
 219:           149           3576  ognl.internal.Entry
 220:             5           3560  [Lcom.sun.org.apache.xerces.internal.util.SymbolTable$Entry;
 221:            63           3528  org.apache.tomcat.util.modeler.ManagedBean
 222:           110           3520  java.io.FilePermission
 223:           110           3520  java.security.Permissions
 224:            24           3456  org.hibernate.mapping.SingleTableSubclass
 225:            72           3456  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute
 226:           144           3456  com.sun.org.apache.xerces.internal.xni.XMLString
 227:            32           3456  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 228:           104           3328  org.apache.catalina.util.ContextName
 229:           138           3312  org.apache.commons.logging.impl.Log4JLogger
 230:           103           3296  com.opensymphony.xwork2.inject.ContainerBuilder$4
 231:           202           3232  java.lang.ref.ReferenceQueue$Lock
 232:            20           3200  org.hibernate.mapping.Set
 233:            56           3136  java.security.Provider$Service
 234:            30           3120  org.springframework.context.annotation.ScannedGenericBeanDefinition
 235:            97           3104  org.apache.tomcat.util.http.MimeHeaderField
 236:           128           3072  com.opensymphony.xwork2.inject.ExternalContext
 237:           128           3072  com.opensymphony.xwork2.inject.ContainerImpl$ParameterInjector
 238:            96           3072  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 239:            95           3040  org.apache.log4j.ProvisionNode
 240:           124           2976  java.util.Collections$UnmodifiableRandomAccessList
 241:            12           2960  [[Ljava.lang.Object;
